Header: Diagnostic Algebraic

Table Details:
Units:	Yes/No
Default Value:	False (0)
Validation Rule:	False (0) or True (-1)
Description:	Write LP files in algebraic format
System	System	-	the system object
Generator	Hydro.1	Hydro	
Generator	Hydro.2	Hydro	
Generator	Pumped.Hydro.3	Hydro	
Generator	Coal.1	Thermal	
Generator	Coal.2	Thermal	
Generator	Coal.3	Thermal	
Generator	CT.1	Thermal	
Generator	Nuclear.1	Thermal	
Generator	Firm.purchase.1	Contracts	
Generator	Firm.purchase.2	Contracts	
Fuel	Coal	-	
Fuel	Gas.contract.1	-	
Fuel	Nuclear.Fuel	-	
Fuel	Oil.No.2	-	
Fuel	Spot.gas	-	
Storage	Pumped.Head.3	-	
Storage	Pumped.Tail.3	-	
Purchaser	Nonfirm.sale.1	-	
Region	North	-	
Region	Southeast	-	
Region	Southwest	-	
Node	North	-	
Node	Southeast	-	
Node	Southwest	-	
Line	East-West.tie	-	
Line	Southeast.link	-	
Line	Southwest.link	-	
Data File	North Load	-	
Data File	Southeast Load	-	
Data File	Southwest Load	-	
Collection	Parent	Child
Generator.Fuels	Coal.1	Coal
Generator.Fuels	Coal.2	Coal
Generator.Fuels	Coal.3	Coal
Generator.Fuels	Coal.3	Oil.No.2
Generator.Fuels	CT.1	Gas.contract.1
Generator.Fuels	CT.1	Spot.gas
Generator.Fuels	Nuclear.1	Nuclear.Fuel
Generator.Start Fuels	Coal.2	Oil.No.2
Generator.Head Storage	Pumped.Hydro.3	Pumped.Head.3
Generator.Tail Storage	Pumped.Hydro.3	Pumped.Tail.3
Generator.Nodes	Hydro.1	North
Generator.Nodes	Hydro.2	North
Generator.Nodes	Pumped.Hydro.3	North
Generator.Nodes	Coal.1	Southwest
Generator.Nodes	Coal.2	Southwest
Generator.Nodes	Coal.3	Southwest
Generator.Nodes	CT.1	Southeast
Generator.Nodes	Nuclear.1	Southeast
Generator.Nodes	Firm.purchase.1	Southwest
Generator.Nodes	Firm.purchase.2	North
Purchaser.Nodes	Nonfirm.sale.1	Southeast
Node.Region	North	North
Node.Region	Southeast	Southeast
Node.Region	Southwest	Southwest
Line.Node From	East-West.tie	Southeast
Line.Node From	Southeast.link	Southeast
Line.Node From	Southwest.link	North
Line.Node To	East-West.tie	Southwest
Line.Node To	Southeast.link	North
Line.Node To	Southwest.link	Southwest
Collection	Parent	Child	Property	Value	Data File	Unit	Band
Generators	System	Hydro.1	Fixed Load Method	Relax When Zero		-	1
Generators	System	Hydro.1	Units	1		-	1
Generators	System	Hydro.1	Max Capacity	15		MW	1
Generators	System	Hydro.1	Min Stable Level	5		MW	1
Generators	System	Hydro.1	Commit	1		-	1
Generators	System	Hydro.1	Max Energy Week	2		GWh	1
Generators	System	Hydro.2	Fixed Load Method	Relax When Zero		-	1
Generators	System	Hydro.2	Units	1		-	1
Generators	System	Hydro.2	Max Capacity	20		MW	1
Generators	System	Hydro.2	Min Stable Level	2		MW	1
Generators	System	Hydro.2	Max Energy Week	1		GWh	1
Generators	System	Pumped.Hydro.3	Fixed Load Method	Relax When Zero		-	1
Generators	System	Pumped.Hydro.3	Units	1		-	1
Generators	System	Pumped.Hydro.3	Max Capacity	100		MW	1
Generators	System	Pumped.Hydro.3	Min Stable Level	20		MW	1
Generators	System	Pumped.Hydro.3	Pump Efficiency	90		%	1
Generators	System	Pumped.Hydro.3	Pump Load	100		MW	1
Generators	System	Pumped.Hydro.3	Min Pump Load	10		MW	1
Generators	System	Coal.1	Max Heat Rate Tranches	3		-	1
Generators	System	Coal.1	Fixed Load Method	Relax When Zero		-	1
Generators	System	Coal.1	Units	1		-	1
Generators	System	Coal.1	Max Capacity	200		MW	1
Generators	System	Coal.1	Min Stable Level	1		MW	1
Generators	System	Coal.1	Load Point	1		MW	1
Generators	System	Coal.1	Load Point	100		MW	2
Generators	System	Coal.1	Load Point	200		MW	3
Generators	System	Coal.1	Heat Rate	11900		BTU/kWh	1
Generators	System	Coal.1	Heat Rate	10350		BTU/kWh	2
Generators	System	Coal.1	Heat Rate	10330		BTU/kWh	3
Generators	System	Coal.1	Start Cost	1500		$	1
Generators	System	Coal.1	Forced Outage Rate	5		%	1
Generators	System	Coal.1	Mean Time to Repair	168		h	1
Generators	System	Coal.2	Max Heat Rate Tranches	3		-	1
Generators	System	Coal.2	Fixed Load Method	Relax When Zero		-	1
Generators	System	Coal.2	Units	1		-	1
Generators	System	Coal.2	Max Capacity	100		MW	1
Generators	System	Coal.2	Min Stable Level	10		MW	1
Generators	System	Coal.2	Load Point	10		MW	1
Generators	System	Coal.2	Load Point	50		MW	2
Generators	System	Coal.2	Load Point	100		MW	3
Generators	System	Coal.2	Heat Rate	13100		BTU/kWh	1
Generators	System	Coal.2	Heat Rate	11550		BTU/kWh	2
Generators	System	Coal.2	Heat Rate	11530		BTU/kWh	3
Generators	System	Coal.2	Start Cost Time	24		h	1
Generators	System	Coal.2	Start Cost Time	58		h	2
Generators	System	Coal.2	Forced Outage Rate	5		%	1
Generators	System	Coal.2	Mean Time to Repair	168		h	1
Generators	System	Coal.3	Max Heat Rate Tranches	3		-	1
Generators	System	Coal.3	Fixed Load Method	Relax When Zero		-	1
Generators	System	Coal.3	Units	1		-	1
Generators	System	Coal.3	Max Capacity	50		MW	1
Generators	System	Coal.3	Min Stable Level	5		MW	1
Generators	System	Coal.3	Load Point	5		MW	1
Generators	System	Coal.3	Load Point	10		MW	2
Generators	System	Coal.3	Load Point	50		MW	3
Generators	System	Coal.3	Heat Rate	14900		BTU/kWh	1
Generators	System	Coal.3	Heat Rate	12950		BTU/kWh	2
Generators	System	Coal.3	Heat Rate	12930		BTU/kWh	3
Generators	System	Coal.3	Start Cost	1500		$	1
Generators	System	Coal.3	Start Cost	4000		$	2
Generators	System	Coal.3	Start Cost Time	16		h	1
Generators	System	Coal.3	Start Cost Time	32		h	2
Generators	System	Coal.3	Forced Outage Rate	5		%	1
Generators	System	Coal.3	Mean Time to Repair	168		h	1
Generators	System	CT.1	Max Heat Rate Tranches	4		-	1
Generators	System	CT.1	Fixed Load Method	Relax When Zero		-	1
Generators	System	CT.1	Units	1		-	1
Generators	System	CT.1	Max Capacity	10		MW	1
Generators	System	CT.1	Min Stable Level	1		MW	1
Generators	System	CT.1	Load Point	1		MW	1
Generators	System	CT.1	Load Point	3		MW	2
Generators	System	CT.1	Load Point	5		MW	3
Generators	System	CT.1	Load Point	10		MW	4
Generators	System	CT.1	Heat Rate Incr	16500		BTU/kWh	1
Generators	System	CT.1	Heat Rate Incr	16500		BTU/kWh	2
Generators	System	CT.1	Heat Rate Incr	16500		BTU/kWh	3
Generators	System	CT.1	Heat Rate Incr	16500		BTU/kWh	4
Generators	System	Nuclear.1	Max Heat Rate Tranches	2		-	1
Generators	System	Nuclear.1	Fixed Load Method	Relax When Zero		-	1
Generators	System	Nuclear.1	Units	1		-	1
Generators	System	Nuclear.1	Max Capacity	100		MW	1
Generators	System	Nuclear.1	Min Stable Level	5		MW	1
Generators	System	Nuclear.1	Load Point	5		MW	1
Generators	System	Nuclear.1	Load Point	100		MW	2
Generators	System	Nuclear.1	Heat Rate Incr	10500		BTU/kWh	1
Generators	System	Nuclear.1	Heat Rate Incr	10500		BTU/kWh	2
Generators	System	Nuclear.1	Start Cost	1500		$	1
Generators	System	Nuclear.1	Commit	1		-	1
Generators	System	Nuclear.1	Forced Outage Rate	5		%	1
Generators	System	Nuclear.1	Mean Time to Repair	168		h	1
Generators	System	Firm.purchase.1	Fixed Load Method	Relax When Zero		-	1
Generators	System	Firm.purchase.1	Units	1		-	1
Generators	System	Firm.purchase.1	Max Capacity	20		MW	1
Generators	System	Firm.purchase.1	Min Stable Level	20		MW	1
Generators	System	Firm.purchase.1	Commit	1		-	1
Generators	System	Firm.purchase.1	Offer Quantity	20		MW	1
Generators	System	Firm.purchase.1	Offer Price	25.5		$/MWh	1
Generators	System	Firm.purchase.2	Fixed Load Method	Relax When Zero		-	1
Generators	System	Firm.purchase.2	Units	1		-	1
Generators	System	Firm.purchase.2	Max Capacity	20		MW	1
Generators	System	Firm.purchase.2	Min Stable Level	20		MW	1
Generators	System	Firm.purchase.2	Commit	1		-	1
